,gua,gus,wua,wus
0,0.03,9.9,0.09,41.9
1,0.03,9.9,0.09,54.06666666666667
2,0.03,9.9,0.09,66.23333333333333
3,0.03,9.9,0.09,78.4
4,0.03,9.9,0.18,41.9
5,0.03,9.9,0.18,54.06666666666667
6,0.03,9.9,0.18,66.23333333333333
7,0.03,9.9,0.18,78.4
8,0.03,9.9,0.27,41.9
9,0.03,9.9,0.27,54.06666666666667
10,0.03,9.9,0.27,66.23333333333333
11,0.03,9.9,0.27,78.4
12,0.03,9.9,0.36,41.9
13,0.03,9.9,0.36,54.06666666666667
14,0.03,9.9,0.36,66.23333333333333
15,0.03,9.9,0.36,78.4
16,0.03,20.825000000000003,0.09,41.9
17,0.03,20.825000000000003,0.09,54.06666666666667
18,0.03,20.825000000000003,0.09,66.23333333333333
19,0.03,20.825000000000003,0.09,78.4
20,0.03,20.825000000000003,0.18,41.9
21,0.03,20.825000000000003,0.18,54.06666666666667
22,0.03,20.825000000000003,0.18,66.23333333333333
23,0.03,20.825000000000003,0.18,78.4
24,0.03,20.825000000000003,0.27,41.9
25,0.03,20.825000000000003,0.27,54.06666666666667
26,0.03,20.825000000000003,0.27,66.23333333333333
27,0.03,20.825000000000003,0.27,78.4
28,0.03,20.825000000000003,0.36,41.9
29,0.03,20.825000000000003,0.36,54.06666666666667
30,0.03,20.825000000000003,0.36,66.23333333333333
31,0.03,20.825000000000003,0.36,78.4
32,0.03,31.75,0.09,41.9
33,0.03,31.75,0.09,54.06666666666667
34,0.03,31.75,0.09,66.23333333333333
35,0.03,31.75,0.09,78.4
36,0.03,31.75,0.18,41.9
37,0.03,31.75,0.18,54.06666666666667
38,0.03,31.75,0.18,66.23333333333333
39,0.03,31.75,0.18,78.4
40,0.03,31.75,0.27,41.9
41,0.03,31.75,0.27,54.06666666666667
42,0.03,31.75,0.27,66.23333333333333
43,0.03,31.75,0.27,78.4
44,0.03,31.75,0.36,41.9
45,0.03,31.75,0.36,54.06666666666667
46,0.03,31.75,0.36,66.23333333333333
47,0.03,31.75,0.36,78.4
48,0.03,42.675000000000004,0.09,41.9
49,0.03,42.675000000000004,0.09,54.06666666666667
50,0.03,42.675000000000004,0.09,66.23333333333333
51,0.03,42.675000000000004,0.09,78.4
52,0.03,42.675000000000004,0.18,41.9
53,0.03,42.675000000000004,0.18,54.06666666666667
54,0.03,42.675000000000004,0.18,66.23333333333333
55,0.03,42.675000000000004,0.18,78.4
56,0.03,42.675000000000004,0.27,41.9
57,0.03,42.675000000000004,0.27,54.06666666666667
58,0.03,42.675000000000004,0.27,66.23333333333333
59,0.03,42.675000000000004,0.27,78.4
60,0.03,42.675000000000004,0.36,41.9
61,0.03,42.675000000000004,0.36,54.06666666666667
62,0.03,42.675000000000004,0.36,66.23333333333333
63,0.03,42.675000000000004,0.36,78.4
64,0.03,53.6,0.09,41.9
65,0.03,53.6,0.09,54.06666666666667
66,0.03,53.6,0.09,66.23333333333333
67,0.03,53.6,0.09,78.4
68,0.03,53.6,0.18,41.9
69,0.03,53.6,0.18,54.06666666666667
70,0.03,53.6,0.18,66.23333333333333
71,0.03,53.6,0.18,78.4
72,0.03,53.6,0.27,41.9
73,0.03,53.6,0.27,54.06666666666667
74,0.03,53.6,0.27,66.23333333333333
75,0.03,53.6,0.27,78.4
76,0.03,53.6,0.36,41.9
77,0.03,53.6,0.36,54.06666666666667
78,0.03,53.6,0.36,66.23333333333333
79,0.03,53.6,0.36,78.4
80,0.2125,9.9,0.09,41.9
81,0.2125,9.9,0.09,54.06666666666667
82,0.2125,9.9,0.09,66.23333333333333
83,0.2125,9.9,0.09,78.4
84,0.2125,9.9,0.18,41.9
85,0.2125,9.9,0.18,54.06666666666667
86,0.2125,9.9,0.18,66.23333333333333
87,0.2125,9.9,0.18,78.4
88,0.2125,9.9,0.27,41.9
89,0.2125,9.9,0.27,54.06666666666667
90,0.2125,9.9,0.27,66.23333333333333
91,0.2125,9.9,0.27,78.4
92,0.2125,9.9,0.36,41.9
93,0.2125,9.9,0.36,54.06666666666667
94,0.2125,9.9,0.36,66.23333333333333
95,0.2125,9.9,0.36,78.4
96,0.2125,20.825000000000003,0.09,41.9
97,0.2125,20.825000000000003,0.09,54.06666666666667
98,0.2125,20.825000000000003,0.09,66.23333333333333
99,0.2125,20.825000000000003,0.09,78.4
100,0.2125,20.825000000000003,0.18,41.9
101,0.2125,20.825000000000003,0.18,54.06666666666667
102,0.2125,20.825000000000003,0.18,66.23333333333333
103,0.2125,20.825000000000003,0.18,78.4
104,0.2125,20.825000000000003,0.27,41.9
105,0.2125,20.825000000000003,0.27,54.06666666666667
106,0.2125,20.825000000000003,0.27,66.23333333333333
107,0.2125,20.825000000000003,0.27,78.4
108,0.2125,20.825000000000003,0.36,41.9
109,0.2125,20.825000000000003,0.36,54.06666666666667
110,0.2125,20.825000000000003,0.36,66.23333333333333
111,0.2125,20.825000000000003,0.36,78.4
112,0.2125,31.75,0.09,41.9
113,0.2125,31.75,0.09,54.06666666666667
114,0.2125,31.75,0.09,66.23333333333333
115,0.2125,31.75,0.09,78.4
116,0.2125,31.75,0.18,41.9
117,0.2125,31.75,0.18,54.06666666666667
118,0.2125,31.75,0.18,66.23333333333333
119,0.2125,31.75,0.18,78.4
120,0.2125,31.75,0.27,41.9
121,0.2125,31.75,0.27,54.06666666666667
122,0.2125,31.75,0.27,66.23333333333333
123,0.2125,31.75,0.27,78.4
124,0.2125,31.75,0.36,41.9
125,0.2125,31.75,0.36,54.06666666666667
126,0.2125,31.75,0.36,66.23333333333333
127,0.2125,31.75,0.36,78.4
128,0.2125,42.675000000000004,0.09,41.9
129,0.2125,42.675000000000004,0.09,54.06666666666667
130,0.2125,42.675000000000004,0.09,66.23333333333333
131,0.2125,42.675000000000004,0.09,78.4
132,0.2125,42.675000000000004,0.18,41.9
133,0.2125,42.675000000000004,0.18,54.06666666666667
134,0.2125,42.675000000000004,0.18,66.23333333333333
135,0.2125,42.675000000000004,0.18,78.4
136,0.2125,42.675000000000004,0.27,41.9
137,0.2125,42.675000000000004,0.27,54.06666666666667
138,0.2125,42.675000000000004,0.27,66.23333333333333
139,0.2125,42.675000000000004,0.27,78.4
140,0.2125,42.675000000000004,0.36,41.9
141,0.2125,42.675000000000004,0.36,54.06666666666667
142,0.2125,42.675000000000004,0.36,66.23333333333333
143,0.2125,42.675000000000004,0.36,78.4
144,0.2125,53.6,0.09,41.9
145,0.2125,53.6,0.09,54.06666666666667
146,0.2125,53.6,0.09,66.23333333333333
147,0.2125,53.6,0.09,78.4
148,0.2125,53.6,0.18,41.9
149,0.2125,53.6,0.18,54.06666666666667
150,0.2125,53.6,0.18,66.23333333333333
151,0.2125,53.6,0.18,78.4
152,0.2125,53.6,0.27,41.9
153,0.2125,53.6,0.27,54.06666666666667
154,0.2125,53.6,0.27,66.23333333333333
155,0.2125,53.6,0.27,78.4
156,0.2125,53.6,0.36,41.9
157,0.2125,53.6,0.36,54.06666666666667
158,0.2125,53.6,0.36,66.23333333333333
159,0.2125,53.6,0.36,78.4
160,0.395,9.9,0.09,41.9
161,0.395,9.9,0.09,54.06666666666667
162,0.395,9.9,0.09,66.23333333333333
163,0.395,9.9,0.09,78.4
164,0.395,9.9,0.18,41.9
165,0.395,9.9,0.18,54.06666666666667
166,0.395,9.9,0.18,66.23333333333333
167,0.395,9.9,0.18,78.4
168,0.395,9.9,0.27,41.9
169,0.395,9.9,0.27,54.06666666666667
170,0.395,9.9,0.27,66.23333333333333
171,0.395,9.9,0.27,78.4
172,0.395,9.9,0.36,41.9
173,0.395,9.9,0.36,54.06666666666667
174,0.395,9.9,0.36,66.23333333333333
175,0.395,9.9,0.36,78.4
176,0.395,20.825000000000003,0.09,41.9
177,0.395,20.825000000000003,0.09,54.06666666666667
178,0.395,20.825000000000003,0.09,66.23333333333333
179,0.395,20.825000000000003,0.09,78.4
180,0.395,20.825000000000003,0.18,41.9
181,0.395,20.825000000000003,0.18,54.06666666666667
182,0.395,20.825000000000003,0.18,66.23333333333333
183,0.395,20.825000000000003,0.18,78.4
184,0.395,20.825000000000003,0.27,41.9
