,depth,width,area,midwidth,,,,,
pt2_L1,176,375.8295455,66146,396,,,,,
pt2_L2,120,246.4083333,29569,257,,,,,
pt2_L3,173,371.5549133,64279,392,,,,,
pt2_L4,213,395.4319249,84227,415,,,,,
pt2_L5,97,187.2371134,18162,203,,,,,
pt2_L6,105,220.7428571,23178,233,,,,,
pt2_L7,,,,,,,,,
pt2_R2,90,190.9,17181,205,,,,,
pt2_R4,203,374.2118227,75965,394,,,,,
pt2_R5,85,168.4823529,14321,183,,,,,
pt2_R6,71,164.1408451,11654,177,,,,,
pt2_R7,82,164.0365854,13451,177,,,,,
pt3_L1,105,220.7428571,23178,233,,,,,
pt3_L2,101,195.9405941,19790,211,,,,,
pt3_L3,173,371.5549133,64279,392,,,,,
pt3_L4,213,395.4319249,84227,415,,,,,
pt3_L6,176,375.8295455,66146,396,,,,,
pt3_L7,120,246.4083333,29569,257,,,,,
pt3_R1,160,349.83125,55973,369,,,,,
pt3_R2,90,190.9,17181,205,,,,,
pt3_R4,203,374.2118227,75965,394,,,,,
pt4_L4,293,606.0716724,177579,628,,,,,
pt5_R4,293,606.0716724,177579,628,,,,,
,*0.01mm,*0.01mm,*0.01mm^2,*0.01mm,,,,,
